key,ja
app.title,天罰
app.subtitle,DIVINE PUNISHMENT
app.eyebrow,影に潜み、一撃に賭ける。
app.build,開発版 — 第一夜・第二夜を収録
nav.start,始める
nav.select,任務を選ぶ
nav.settings,設定
nav.quit,終わる
nav.back,戻る
nav.resume,任務へ戻る
nav.retry,チェックポイントから再開
nav.abandon,任務を中止
nav.restart,もう一度
nav.to_select,任務選択へ
select.title,任務選択
select.eyebrow,巻物をひらく
practice.title,修練場 ─ 夜の庭
practice.summary,背後から標的を討ち、朱の門から離脱せよ。\n遮蔽物に身を隠し、距離を詰める。短い稽古は何度でも挑める。
practice.tools,持ち込み：小石・吹き矢・煙玉
practice.start,修練を開始
campaign.pending,本編 ─ 制作中
campaign.detail,山道の関所・武家屋敷は、後続の任務制作で公開予定です。
pause.title,一服
pause.eyebrow,時を止め、次の一手を。
settings.title,設定
settings.master,主音量
settings.sensitivity,視点の感度
settings.session,この画面の変更は現在のプレイに反映されます。
objective.practice_target,背後から修練の標的を討て
objective.practice_escape,朱の門へ向かい、離脱せよ
hud.controls,{move_forward}{move_left}{move_backward}{move_right} 移動　{stance_toggle} しゃがむ　{sword} 刀　{assassinate} 必殺　{pause} 一服
hud.escape,離脱の門が開いた
hud.mission,修練 ─ 夜の庭
result.title,任務結果
result.success,修練達成
result.failed,任務未達
result.score,評価点　%d
result.nontarget,標的以外の殺害　%d
result.next,次に目指すもの
result.all_done,すべての型を達成。もう一度、静かな一撃を。
result.flag.shadow_walker,未発見
result.flag.no_traces,死体未発見
result.flag.one_strike,一撃
result.flag.swift,疾風
result.flag.side_objective,副目標
result.rank.kaiden,皆伝
result.rank.okuden,奥伝
result.rank.chuden,中伝
result.rank.shoden,初伝
result.flag_pass,○　%s　＋%d
result.flag_fail,×　%s　＋0
result.flag_na,―　%s　対象なし
result.next.shadow_walker,敵に見つからずに離脱する。
result.next.no_traces,死体を見つけられる前に離脱する。
result.next.one_strike,標的を一撃の必殺で仕留める。
result.next.swift,寄り道を減らし、制限時間内に離脱する。
result.next.side_objective,副目標も達成して離脱する。
error.load,任務を読み込めませんでした。選択画面からもう一度お試しください。
error.retry,再開できませんでした。もう一度お試しください。
error.restore,チェックポイントを復元できません。任務を中止してください。
error.exit,画面を切り替えられませんでした。
death.title,落命
death.abandoned,任務を中止しました
death.restart,任務を最初から開始
death.quit,ゲームを終了
death.load_error,任務を読み込めません。任務を中止してください。
settings.volume_master,主音量
settings.volume_bgm,BGM音量
settings.volume_se,効果音
settings.sensitivity_x,横方向の倍率
settings.sensitivity_y,縦方向の倍率
settings.invert_y,縦方向を反転
settings.fullscreen,全画面
settings.vsync,垂直同期
settings.quality_preset,描画品質
settings.quality.low,低
settings.quality.medium,中
settings.quality.high,高
settings.bindings,キー割り当て
settings.binding_help,変更する項目を選びキーかマウスボタンを押してください。パッド割り当ては維持されます。
settings.unassigned,未割り当て
settings.reset_bindings,割り当てを初期値へ戻す
settings.save_back,保存して戻る
settings.press_binding,キーかマウスボタンを押してください（Escで取消）
settings.binding_conflict,他の操作と競合するか使用できないキーです。
settings.save_failed,保存できませんでした。元のセーブは保護されています。保存先を確認して再試行してください。
settings.unavailable,設定を開けませんでした。
input.move_forward,前進
input.move_backward,後退
input.move_left,左移動
input.move_right,右移動
input.stance_toggle,姿勢切替
input.sprint,走る
input.camera_up,カメラ上
input.camera_down,カメラ下
input.camera_left,カメラ左
input.camera_right,カメラ右
input.interact,調べる・操作
input.assassinate,必殺
input.tool_use,忍具使用
input.tool_cycle,忍具切替
input.aim,狙う
input.peek,覗く
input.attack,斬撃
input.parry,受け流し
input.dodge,回避
input.debug_overlay_toggle,検証表示切替
input.pause,一時停止
input.sword,抜刀・納刀
input.assassinate_lethal,致死必殺
input.dart,吹き矢
settings.back_without_save,保存せず戻る
settings.recovery_notice,セーブデータを復旧しました。以前のファイルはバックアップとして残しています。
settings.corrupt_notice,セーブを読み取れませんでした。元のファイルを退避し、新しいデータで開始します。
select.best,最高評価　%s
cutscene.next,次の行 · 決定長押しで早送り
cutscene.auto_off,オート：切
cutscene.auto_on,オート：入
cutscene.skip,省略 · Esc
cutscene.skip_title,紙芝居を省略
cutscene.skip_confirm,この紙芝居を省略して先へ進みますか？
cutscene.skip_yes,省略する
cutscene.skip_no,読み続ける
cutscene.sample.narration,雪の夜。遠い灯りだけが、城下の眠りを守っていた。
cutscene.sample.speaker,使いの者
cutscene.sample.dialogue,「門が閉じる。行くのなら、今だ。」
cutscene.sample.inner,……静けさの向こうに、まだ見ぬ夜が待っている。
cutscene.sample.title,紙芝居・表示見本
cutscene.sample.note,仮の絵と文章による操作見本です。
cutscene.replay,もう一度読む
cutscene.home,タイトルへ
mission.tutorial,山間の関所
tutorial.summary,月明かりの山道で忍びの基本を学び、密書を奪って関所を抜ける。立哨二人・巡回二人。初見の目安 5〜10 分。
tutorial.start,山間の関所へ
tutorial.objective.sneak,一　姿勢を低くして、明かりと木陰の違いを確かめる
tutorial.objective.hide,二　茂みで巡回をやり過ごし、岩陰から覗く
tutorial.objective.lure,三　砂利の足音と、石による誘導を覚える
tutorial.objective.lights,四　番小屋の灯籠を二つ消す
tutorial.objective.assassinate,番小屋の巡回兵へ、背後から必殺を決める
tutorial.objective.body,死体を担ぎ、奥の覆いへ隠す
tutorial.objective.document,奥の密書を手に入れる
tutorial.objective.escape,五　地上か屋根を選び、関所を抜ける
tutorial.hint.sneak,{stance_toggle}でしゃがみ、月明かりから左の木陰へ。姿勢を低く保って移動し、姿の見えやすさの変化を確かめよう。
tutorial.hint.hide,左の茂みで{interact}。巡回兵が通り過ぎるまで隠れ、もう一度{interact}で出る。奥の左岩へ貼り付き、{move_left}／{move_right}で覗こう。
tutorial.hint.lure,砂利を歩いて足音を確かめよう。朱の目印へ{aim}で狙い、{tool_use}で石を投げる。立哨が音へ動けば東の小屋へ進める。石は手前右の箱で{interact}して補充。
tutorial.hint.lights,東の小屋の灯籠二つに近づき{interact}。巡回兵の向きに注意し、消えた灯りを戻される前にもう一つを消そう。
tutorial.hint.assassinate,巡回兵の背後へ静かに近づき、必殺表示が出たら{assassinate}。戦闘で倒すと学習をやり直す。
tutorial.hint.body,倒した巡回兵のそばで{interact}して担ぐ。小屋の奥左にある低い覆いへ運び、{interact}で収納。
tutorial.hint.document,覆いの右奥にある明るい紙が密書。近づいて{interact}で手に入れる。
tutorial.hint.escape,地上は左の灯籠を消し、北側の朱印へ新しい石を投げて立哨を誘導。屋根は右奥の縁で{interact}して{move_forward}で登り、西の切れ目から降りる。石は出口右の箱で補充できる。
tutorial.retry_fall,足場から落ちた。再開して別の足場を選ぼう。
tutorial.retry_sentry,誘導を学ぶ立哨が倒れた。再開して石で注意をそらそう。
tutorial.retry_patrol,隠れる学習の巡回兵が倒れた。再開して茂みでやり過ごそう。
tutorial.retry_assassinate,消灯後、巡回兵の背後から必殺を決める必要がある。再開して手順を確かめよう。
input.mouse_left,左クリック
input.mouse_right,右クリック
input.mouse_middle,中央クリック
m02.title,武家屋敷の粛清
m02.summary,毒山刑部の屋敷へ潜入せよ。庭・屋根・床下の三つの経路で好機を探り、標的を討って離脱する。
m02.start,屋敷へ潜入
m02.objective.target,毒山刑部を討て。庭・屋根・床下から好機を探れ
m02.objective.escape,侵入路を戻るか西の水路から離脱せよ。警戒中は正門が閉じる
tool.stone,小石
tool.dart,吹き矢
tool.smoke,煙玉
tool.rope,縄
tool.naruko,鳴子
gym.title,再潜伏ジム
gym.hide,退避地点\n{interact}: 隠れる / 出る
gym.instructions,再潜伏ジム — {move_forward}/{move_left}/{move_backward}/{move_right}: 移動 / マウス: 視点 / {stance_toggle}: しゃがむ / {sprint}: 走る\n正面で発見 → 壁を回って緑の退避地点で {interact} → 帰投を待つ\n{interact} で退出 → しゃがんで背後へ → {assassinate} で必殺（再試行はシーン再起動）\n
gym.status,警戒: %s  |  プレイヤー: %s  |  残留警戒: ×%.1f / %.1f 秒\n
gym.complete,連鎖達成: 発見 → 隠れる → 捜索 → 帰投 → 背後必殺
gym.pending,捜索は 60 秒、残留警戒は帰投開始から 120 秒。視認されたまま隠れることはできません。
phase.unaware,平常
phase.suspicious,不審
phase.searching,捜索
phase.combat,戦闘
phase.return,帰投
speaker.kuroha,玄羽
speaker.chiyo,千代
speaker.oko,お甲
hideout.continue,隠れ家へ
hideout.h1.calm.01,行灯の火が、戸口の影をほどいた。
hideout.h1.calm.02,くろはの手、冷たいね
hideout.h1.calm.03,……夜風だ。
hideout.h1.calm.04,ここにおいで。まだ、火があるよ。
hideout.h1.calm.05,差し出された小さな手に、玄羽は触れなかった。
hideout.h1.calm.06,先に寝ろ。
hideout.h1.blood.01,戸が閉じても、玄羽は立ったままだった。
hideout.h1.blood.02,くろはの手、なんだか匂いがする
hideout.h1.blood.03,……。
hideout.h1.blood.04,お湯、持ってこようか。
hideout.h1.blood.05,玄羽は、袖の中へ手を引いた。
hideout.h1.blood.06,寝ていろ。
hideout.h2.calm.01,お甲は、畳の上へ包みを置いた。
hideout.h2.calm.02,静かな仕事だったね。腕は落ちてない
hideout.h2.calm.03,次は。
hideout.h2.calm.04,山寺だ。道は書いてある。
hideout.h2.calm.05,玄羽は地図を開き、指を止めた。
hideout.h2.calm.06,夜に出る。
hideout.h2.blood.01,お甲は、包みを置く手を止めた。
hideout.h2.blood.02,……ずいぶん、殺したね
hideout.h2.blood.03,道を聞きに来た。
hideout.h2.blood.04,山寺だよ。今度は、足元も見ておいで。
hideout.h2.blood.05,地図の端が、指の下で折れた。
hideout.h2.blood.06,……。
hideout.h3.calm.01,千代は、縫いかけの布を膝に伏せた。
hideout.h3.calm.02,お坊さんも、悪い人だったの？
hideout.h3.calm.03,……守るためだった
hideout.h3.calm.04,くろはも、帰ってきてね。
hideout.h3.calm.05,玄羽は、草履の紐を結び直した。
hideout.h3.calm.06,ああ。
hideout.h3.blood.01,千代は、縫いかけの布を膝に伏せた。
hideout.h3.blood.02,お坊さんも、悪い人だったの？
hideout.h3.blood.03,……。
hideout.h3.blood.04,ここに、座るところあるよ。
hideout.h3.blood.05,空いた座布団に、灯りだけが落ちた。
hideout.h3.blood.06,先に休め。
hideout.h4.calm.01,祭りの音は、もう届かなかった。
hideout.h4.calm.02,あんた、まだ人の顔をしてるよ
hideout.h4.calm.03,……。
hideout.h4.calm.04,明日も、戻ってくる？
hideout.h4.calm.05,戻る。
hideout.h4.calm.06,千代は、行灯を玄羽の側へ寄せた。
hideout.h4.blood.01,祭りの音は、もう届かなかった。
hideout.h4.blood.02,あんた、近ごろ鏡を見たかい
hideout.h4.blood.03,用はない。
hideout.h4.blood.04,くろは、こっちを向いて。
hideout.h4.blood.05,玄羽は、行灯の芯を短くした。
hideout.h4.blood.06,……。
hideout.h5.calm.01,軒先に、月の光が落ちていた。
hideout.h5.calm.02,泣いてるの？
hideout.h5.calm.03,雨だ
hideout.h5.calm.04,庭石は乾き、軒に雫はなかった。
hideout.h5.calm.05,……そばにいるね。
hideout.h5.calm.06,玄羽は、顔を上げなかった。
hideout.h6.calm.01,包帯の端を、お甲が結び直した。
hideout.h6.calm.02,あの子を取り戻すまで、あんたは壊れちゃいけないよ
hideout.h6.calm.03,連れていかれた先は。
hideout.h6.calm.04,まだ調べてる。まずは梶原だ。
hideout.h6.calm.05,畳の隅に、小さな櫛が残っていた。
hideout.h6.calm.06,……わかった。
hideout.h6.blood.01,包帯の端を、お甲が結び直した。
hideout.h6.blood.02,取り戻したあとで、あの子があんたを見てくれるかどうかだね
hideout.h6.blood.03,取り戻す。
hideout.h6.blood.04,戻ってからも、務めは続くよ。
hideout.h6.blood.05,畳の隅に、小さな櫛が残っていた。
hideout.h6.blood.06,……。
hideout.h7.calm.01,荒れ寺の灯が、戸の隙間を縫った。
hideout.h7.calm.02,城の見取りだよ。
hideout.h7.calm.03,……。
hideout.h7.calm.04,夜明けまでに、手当てをする。
hideout.h7.calm.05,玄羽は、刀を膝の前に置いた。
hideout.h7.calm.06,聞かせろ。
hideout.h8.calm.01,夜の明けぬうちに、戸が閉じられた。
hideout.h8.calm.02,血の匂いがしない
hideout.h8.calm.03,……そうか。
hideout.h8.calm.04,くろは、おかえり。
hideout.h8.calm.05,玄羽は、その声を背に立ち上がった。
hideout.h8.calm.06,あと、一人だ。
m03.title,湊の蔵屋敷
m04.title,雨の山寺
m05.title,祭りの夜
m06.title,雪の峠
m07.title,忍びの里
m08.title,蔵屋敷の粛清
m09.title,無血の城
m10.title,天守の影
campaign.locked,霞の向こう
campaign.oko,お甲の口上
campaign.loadout,持ち込み忍具
campaign.unavailable,この夜は準備中
campaign.depart,務めに出る
campaign.night.1,第一夜
campaign.target.1,密書奪取
campaign.summary.1,"山道の関所だ。
密書を持ち帰っておいで。
木陰があんたを隠してくれる。"
campaign.night.2,第二夜
campaign.target.2,家老・毒山刑部
campaign.summary.2,"毒山の屋敷図だよ。
庭も、屋根も、床下も道になる。
戻る道まで、見ておいで。"
campaign.night.3,第三夜
campaign.target.3,廻船問屋・戎屋徳兵衛
campaign.summary.3,"湊の問屋、戎屋だ。
帳簿に残る名を確かめるんだよ。
荷揚げの人足には手を出すんじゃない。"
campaign.night.4,第四夜
campaign.target.4,刺客僧・鉄仙坊
campaign.summary.4,"鉄仙坊が残党を狩っている。
山寺には、まだ生きた者がいる。
その者を守っておいで。"
campaign.night.5,第五夜
campaign.target.5,目付・黒沢帯刀
campaign.summary.5,"祭りの晩だ。
黒沢は人混みに紛れている。
堅気を巻き込むんじゃないよ。"
campaign.night.6,第六夜
campaign.target.6,密使・間宮小十郎
campaign.summary.6,"間宮が裏書状を運んでいる。
峠を越える前に止めるんだ。
……若い侍だそうだよ。"
campaign.night.7,第七夜
campaign.target.7,忍頭・鴉羽
campaign.summary.7,"鴉羽と連判状。
どちらを先に取るかは、あんたが決めな。
あの里の屋根にも、目がある。"
campaign.night.8,第八夜
campaign.target.8,側用人・梶原刑部少輔
campaign.summary.8,"梶原の蔵屋敷だ。
千代の行方を知っているはずだよ。
門の向こうは、どこも厳しい。"
campaign.night.9,第九夜
campaign.target.9,千代救出
campaign.summary.9,"千代は城の中だ。
兵は何も知らない。
二人で、帰っておいで。"
campaign.night.10,第十夜
campaign.target.10,宗玄
campaign.summary.10,"宗玄が天守にいる。
行っといで。
……帰ってくるんだよ。"
nonlethal.prompt,{knockout}  当身
nonlethal.binding,拘束している……
hud.controls.nonlethal,{move_forward}{move_left}{move_backward}{move_right} 移動　{stance_toggle} しゃがむ　{knockout} 当身　{escort_command} 同行指示　{pause} 一服
nonlethal.failed,殺めてはならない。直前の地点からやり直す。
input.knockout,当身
input.escort_command,同行・待機
npc.escort_command,{escort_command} 同行・待機
settings.inner_monologue,暗殺後の内語を表示
result.oko.quiet,静かな仕事だったね
result.oko.some,……余計な灯りも、消えたようだね
result.oko.many,……ずいぶん、殺したね
m02.inner_monologue,同じことだ、と言った。……本当にそうか。
m02.last_words,わ、わしは書いただけだ……金は、戎屋が……
m03.inner_monologue,これも、務めだ。……務め、か
m03.last_words,銭は罪かい……忍風情が、人を裁くか
m04.inner_monologue,……答えは、出ない。
m04.last_words,同業よ……俺とお前の、何が違う
m05.inner_monologue,囃子は、まだ続いている。
m05.last_words,俺は、判を押しただけだ……
m06.inner_monologue,ただの、御用。……俺と同じだ。
m06.last_words,私はただ、御用を……母上……
m07.inner_monologue,里の名を、誰が残す。
m07.last_words,宗玄様は里を救った……お前は里を、殺しに来た
m08.inner_monologue,この手は、何を守った。
m08.last_words,わしを斬っても、席は空かぬ……
m10.inner_monologue,……帰ろう。
m10.last_words,……人殺しの顔では、なくなったな……弟よ……
m03.objective.target,戎屋徳兵衛を暗殺する
m03.objective.ledger,母屋の裏帳簿を回収する
m03.objective.escape,来た船着きか裏の水路から脱出する
m03.objective.opium,蔵三の阿片箱を海に捨てる
m03.prompt.ledger,{interact} 裏帳簿を取る
m03.prompt.cargo,{interact} 阿片箱を持つ／置く
m03.prompt.exit,脱出地点
m04.objective.target,鉄仙坊を暗殺する
m04.objective.escape,山寺から脱出する
m04.objective.retainers,遺臣2名を解放し、無事に逃がす
m04.prompt.bell,{interact} 集合の鐘を鳴らす（1回）
m04.prompt.rescue,{interact} 遺臣を解放する
